
Regions,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Republic of Uzbekistan,54.6,55.3,55.9,56.6,57.3,58,58.6,59.4,60.3,61.3,62.4,64.9,65.8,66.8,67.9,69.1,70.3,71.5,72.7,74.1,75.517740606277,77,78.6
Republic of Karakalpakstan",9,9.2,9.2,9.3,9.4,9.4,9.4,9.5,9.6,9.7,9.8,10.1,10.2,10.3,10.4,10.6,10.8,10.9,11.1,11.2,11.395041719191,11.5,11.7
Andijan,520.5,527.7,535.1,542.8,549.8,557.8,552.5,560.4,570,581.4,592.8,621.5,631.2,641,652.4,664.5,676.9,689,700.4,713.2,727.37209302326,741.4,756.2
Bukhara,35.2,35.7,36.1,36.6,37,37.4,37.8,38.3,38.8,39.4,40,41.8,42.3,42.9,43.6,44.3,45,45.7,46.4,47.1,47.834410740925,48.4,49.2
Jizzakh,46,46.8,47.4,48.1,48.6,49.2,49.6,50.2,50.9,51.8,52.7,55,55.9,56.8,57.8,58.9,60.2,61.3,62.5,63.8,65.162659123055,66.5,68.1
Kashkadarya,75.8,77.4,78.8,80.2,81.7,83.2,84.7,86.2,87.8,89.7,91.6,95.3,97.2,99.1,101.3,103.6,105.9,108.1,110.2,112.5,114.81974098705,116.7,119.3
Navoi,7.1,7.1,7.2,7.2,7.2,7.3,7.3,7.4,7.5,7.6,7.7,7.9,7.9,8,8.1,8.2,8.4,8.5,8.6,8.8,8.9756053650194,9.1,9.3
Namangan,260,263.9,267.9,272.1,276,280.2,282.7,286.9,292.2,298,303.6,319.8,325.3,330.5,336.6,343.3,349.9,356.5,362.8,370,377.79569892473,385.4,394
Samarkand,158.9,161.3,163.7,166,168.2,170.7,173.4,176.2,179.1,182.6,186,195,198.3,201.6,205.5,209.6,213.7,217.8,221.8,226.5,231.21049493143,235.4,240.3
Surkhandarya,86.4,88.1,89.6,91.3,92.7,94.3,95.8,97.4,99.1,101.2,103.2,108.2,110.4,112.5,114.8,117.3,120,122.5,125.1,127.9,130.80099502488,133.4,136.5
Syrdarya,149.3,151.1,152.8,154.4,155.5,156.3,158.2,159.9,161.9,164.3,166.9,169.9,172.8,175.4,178.5,181.6,184.7,187.6,190.6,193.9,197.73364485981,201.1,205.5
Fergana,39  7.7,402.6,407.4,412.8,417.8,424,425.9,432,439.7,447.1,454.8,477.7,485.3,492.6,501,509.6,518.5,527.3,535.5,544.9,555.02958579882,565.1,576.5
Khorezm,217,220.9,224.5,228,231.2,234.9,240.3,244.3,248.6,253,258.1,264.6,269.3,273.4,278.4,283.6,288.7,293.7,298.3,303.4,308.51239669421,312.9,317.9
Tashkent,6472.2,6458.8,6454.9,6462.7,6451.3,6452.1,6466.9,6516.9,6586.1,6665.5,6750.2,6875.7,6914.1,7008.8,7044.6,7099.6,7165.2,7257.9,7380,7514.9,7699.6047904192,7554.4,6379.1
